"latitude","longitude","total_user_spot"
"41.383544000000008","2.1736759999999986","3308"
"41.392541000000008","2.1646789999999987","1710"
"41.401538000000009","2.1736759999999986","1796"
"41.383544000000008","2.1646789999999987","1171"
"41.374547000000007","2.1736759999999986","1238"
"41.383544000000008","2.1826729999999985","1559"
"41.41053500000001","2.1556819999999988","1135"
"41.365550000000006","2.1556819999999988","888"
"41.374547000000007","2.1466849999999988","809"
"41.401538000000009","2.1646789999999987","421"
"41.374547000000007","2.1556819999999988","621"
"41.401538000000009","2.1556819999999988","466"
"41.374547000000007","2.1826729999999985","963"
"41.383544000000008","2.1916699999999985","776"
"41.392541000000008","2.1736759999999986","529"
"41.401538000000009","2.1916699999999985","520"
"41.392541000000008","2.1826729999999985","739"
"41.383544000000008","2.1196939999999991","380"
"41.365550000000006","2.1646789999999987","508"
"41.41053500000001","2.2276579999999981","180"
"41.392541000000008","2.1556819999999988","443"
"41.401538000000009","2.1826729999999985","298"
"41.41053500000001","2.2186609999999982","321"
"41.374547000000007","2.1916699999999985","611"
"41.374547000000007","2.1646789999999987","325"
"41.365550000000006","2.1016999999999992","58"
"41.356553000000005","2.128690999999999","103"
"41.392541000000008","2.1916699999999985","280"
"41.419532000000011","2.1556819999999988","332"
"41.41053500000001","2.1736759999999986","227"
"41.365550000000006","2.1466849999999988","322"
"41.383544000000008","2.2006669999999984","411"
"41.41053500000001","2.1466849999999988","356"
"41.392541000000008","2.1466849999999988","219"
"41.383544000000008","2.1556819999999988","217"
"41.392541000000008","2.1376879999999989","151"
"41.374547000000007","2.1376879999999989","185"
"41.419532000000011","2.1196939999999991","238"
"41.41053500000001","2.1916699999999985","93"
"41.401538000000009","2.1466849999999988","142"
"41.392541000000008","2.2006669999999984","322"
"41.383544000000008","2.1376879999999989","171"
"41.356553000000005","2.0657119999999995","47"
"41.41053500000001","2.1646789999999987","95"
"41.41053500000001","2.1826729999999985","96"
"41.383544000000008","2.128690999999999","128"
"41.365550000000006","2.2276579999999981","2"
"41.392541000000008","2.2096639999999983","160"
"41.383544000000008","2.1106969999999992","96"
"41.419532000000011","2.1466849999999988","106"
"41.41053500000001","2.128690999999999","102"
"41.401538000000009","2.2006669999999984","149"
"41.41053500000001","2.1376879999999989","107"
"41.401538000000009","2.2096639999999983","146"
"41.365550000000006","2.1826729999999985","98"
"41.392541000000008","2.1106969999999992","85"
"41.401538000000009","2.1106969999999992","37"
"41.419532000000011","2.2186609999999982","14"
"41.401538000000009","2.1376879999999989","58"
"41.428529000000012","2.2366549999999981","52"
"41.365550000000006","2.1106969999999992","17"
"41.437526000000013","2.1916699999999985","51"
"41.41053500000001","2.2006669999999984","80"
"41.365550000000006","2.1736759999999986","141"
"41.374547000000007","2.128690999999999","66"
"41.383544000000008","2.1466849999999988","122"
"41.392541000000008","2.1196939999999991","78"
"41.374547000000007","2.0837059999999994","19"
"41.401538000000009","2.1196939999999991","58"
"41.302571","2.0747089999999995","113"
"41.311568000000001","2.0927029999999993","8"
"41.401538000000009","2.2186609999999982","97"
"41.419532000000011","2.1646789999999987","81"
"41.419532000000011","2.2276579999999981","56"
"41.41053500000001","2.2096639999999983","79"
"41.419532000000011","2.128690999999999","79"
"41.392541000000008","2.1016999999999992","21"
"41.392541000000008","2.128690999999999","95"
"41.365550000000006","2.1916699999999985","124"
"41.356553000000005","2.1556819999999988","60"
"41.428529000000012","2.1646789999999987","24"
"41.419532000000011","2.1916699999999985","58"
"41.419532000000011","2.1376879999999989","41"
"41.374547000000007","2.1196939999999991","38"
"41.437526000000013","2.1196939999999991","5"
"41.437526000000013","2.1736759999999986","17"
"41.41053500000001","2.1106969999999992","44"
"41.365550000000006","2.1376879999999989","46"
"41.356553000000005","2.1016999999999992","26"
"41.419532000000011","2.1826729999999985","50"
"41.383544000000008","2.1016999999999992","36"
"41.356553000000005","2.1646789999999987","59"
"41.428529000000012","2.1826729999999985","36"
"41.365550000000006","2.128690999999999","32"
"41.365550000000006","2.0927029999999993","21"
"41.419532000000011","2.2006669999999984","21"
"41.437526000000013","2.1466849999999988","33"
"41.356553000000005","2.1736759999999986","41"
"41.428529000000012","2.1466849999999988","27"
"41.428529000000012","2.1736759999999986","17"
"41.302571","2.1106969999999992","13"
"41.428529000000012","2.1916699999999985","38"
"41.374547000000007","2.1016999999999992","20"
"41.419532000000011","2.1106969999999992","62"
"41.401538000000009","2.128690999999999","53"
"41.419532000000011","2.1736759999999986","43"
"41.356553000000005","2.1376879999999989","25"
"41.347556000000004","2.128690999999999","10"
"41.347556000000004","2.1106969999999992","28"
"41.428529000000012","2.2276579999999981","15"
"41.383544000000008","2.0477179999999997","14"
"41.365550000000006","2.1196939999999991","20"
"41.419532000000011","2.2096639999999983","24"
"41.383544000000008","2.0927029999999993","9"
"41.347556000000004","2.0657119999999995","15"
"41.302571","2.0837059999999994","26"
"41.437526000000013","2.2366549999999981","8"
"41.419532000000011","2.1016999999999992","26"
"41.419532000000011","2.0747089999999995","3"
"41.437526000000013","2.0747089999999995","1"
"41.437526000000013","2.1376879999999989","10"
"41.41053500000001","2.1016999999999992","26"
"41.356553000000005","2.1106969999999992","27"
"41.365550000000006","2.0657119999999995","11"
"41.419532000000011","2.0927029999999993","9"
"41.428529000000012","2.2186609999999982","26"
"41.356553000000005","2.1196939999999991","27"
"41.347556000000004","2.1556819999999988","9"
"41.329562000000003","2.0927029999999993","22"
"41.428529000000012","2.1556819999999988","20"
"41.302571","2.1016999999999992","10"
"41.347556000000004","2.0837059999999994","11"
"41.356553000000005","2.0747089999999995","23"
